,mean,std,min,max
rouge1_P,0.5764,0.0948,0.4567,0.76
rouge1_R,0.4328,0.0644,0.358,0.534
rouge1_F1,0.4908,0.06,0.4014,0.5746
rouge2_P,0.1927,0.0875,0.1024,0.3436
rouge2_R,0.1436,0.0651,0.0747,0.2947
rouge2_F1,0.1633,0.0722,0.0864,0.3173
rougeL_P,0.3368,0.084,0.2349,0.4634
rougeL_R,0.2523,0.0605,0.1875,0.3979
rougeL_F1,0.2865,0.0648,0.2215,0.4282
bertscore_P,0.8942,0.0183,0.8725,0.9224
bertscore_R,0.8785,0.0133,0.8649,0.9085
bertscore_F1,0.8862,0.0151,0.8716,0.9154
cosine_sim,0.83,0.0516,0.7483,0.9248
